,Id,Date,DeliveryDate,Quantity,Currency,Supplier,NetAmount,Leadtime,AvgLT,StdLT,DailyDemand,LTDemand,StdDmd
0,10206,2017-08-15,2017-08-24,26,USD,Computer & Co,289.380005,9,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
1,10206,2017-08-22,2017-08-31,27,USD,Computer & Co,300.51001,9,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
2,10206,2017-08-28,2017-09-07,36,USD,Computer & Co,400.679993,10,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
3,10206,2017-09-05,2017-09-14,19,USD,Computer & Co,211.470001,9,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
4,10206,2017-09-11,2017-09-19,13,USD,Computer & Co,144.690002,8,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
5,10206,2017-09-18,2017-09-24,15,USD,Computer & Co,166.949997,6,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
6,10206,2017-09-25,2017-10-02,14,USD,Computer & Co,155.820007,7,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
7,10206,2017-10-02,2017-10-09,39,USD,Computer & Co,434.070007,7,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
8,10206,2017-10-09,2017-10-17,39,USD,Computer & Co,434.070007,8,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
9,10206,2017-10-19,2017-10-28,43,USD,Computer & Co,478.589996,9,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
10,10206,2017-10-23,2017-11-01,54,USD,Computer & Co,601.02002,9,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
11,10206,2017-10-30,2017-11-06,44,USD,Computer & Co,489.720001,7,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
12,10206,2017-11-06,2017-11-16,17,USD,Computer & Co,189.210007,10,7.777777777777778,1.8673991236957048,5.7272727272727275,44.54545454545455,8.187229680028938
