id,cost
1,22.739006
2,12.671258
3,7.0550175
4,5.5310984
5,4.403899
6,4.0013294
7,3.8641067
8,3.7536578
9,21.943987
10,12.270185
11,6.4339404
12,4.5473847
13,3.4079027
14,3.1005988
15,2.9695697
16,2.903087
17,28.128178
18,16.571415
19,9.426994
20,7.184614
21,5.6500173
22,5.268294
23,5.1083775
24,4.927092
25,23.53266
26,13.150601
27,7.3050756
28,5.6485415
29,4.6069765
30,4.195068
31,4.0659504
32,3.9483619
33,22.35031
34,12.442939
35,6.66438
36,4.8575635
37,3.7784271
38,3.4403572
39,3.3006468
40,3.2324476
41,9.955885
42,40.508095
43,13.270957
44,38.225536
45,24.716413
46,17.426266
47,14.546791
48,11.738111
49,11.0034
50,10.725347
51,10.385139
52,67.21151
53,46.14205
54,37.41682
55,4.761931
56,3.2258878
57,17.892063
58,9.057915
59,6.442025
60,7.06656
61,6.373658
62,4.087974
63,21.78216
64,13.09127
65,7.466607
66,5.4677157
67,4.3443556
68,4.0107102
69,3.796226
70,3.7325063
71,18.150734
72,7.907728
73,7.2724266
74,5.3912244
75,19.180998
76,21.043669
77,11.4192095
78,5.690481
79,3.8312864
80,2.7781527
81,2.4212737
82,2.2540035
83,2.1746607
84,15.264925
85,20.930502
86,17.413244
87,15.032061
88,15.303343
89,22.959373
90,12.812225
91,6.7758293
92,4.7193832
93,3.5182266
94,3.203257
95,3.0432873
96,2.9495773
97,3.7533774
98,23.213854
99,12.622453
100,6.4744806
101,4.490088
102,3.247229
103,2.8771002
104,2.6844258
105,2.5782223
106,27.213573
107,15.470158
108,8.738153
109,6.1070967
110,4.7899075
111,4.3558583
112,4.193937
113,4.084804
114,5.674614
115,6.2551756
116,16.821594
117,12.840935
118,10.927803
119,9.347681
120,65.20577
121,46.805733
122,37.039593
123,29.075563
124,19.210966
125,10.131589
126,4.547552
127,3.4839807
128,2.5563278
129,2.1795015
130,2.0121992
131,70.94575
132,41.877625
133,26.870062
134,24.148571
135,21.403852
136,4.774116
137,12.235794
138,11.295797
139,8.671313
140,8.150236
141,2.8961163
142,25.963547
143,14.480115
144,7.865239
145,5.5453305
146,4.2011576
147,3.9707355
148,3.7872386
149,3.649787
150,18.054482
151,28.930431
152,17.029606
153,9.975894
154,7.494439
155,6.0355964
156,5.6075845
157,5.5019507
158,5.375202
159,76.46789
160,59.933563
161,53.691277
162,51.96786
163,61.060337
164,52.613647
165,52.95805
166,43.638103
167,24.114609
168,12.792024
169,8.483118
170,4.3264027
171,3.056069
172,2.7194905
173,2.5591497
174,2.4833431
175,19.239494
176,11.144371
177,6.0368056
178,15.561188
179,5.057307
180,3.58674
181,70.8859
182,28.669373
183,16.008501
184,10.176052
185,29.376785
186,18.060556
187,11.918878
188,8.825713
189,7.882453
190,7.4384136
191,7.261965
192,7.2446547
193,2.9788578
194,2.8774607
195,21.848059
196,12.146395
197,6.37008
198,4.5094132
199,3.3399467
200,3.0216484
201,2.8877795
202,2.824658
203,21.543217
204,11.963183
205,6.192571
206,4.325461
207,3.221098
208,2.9006557
209,2.750078
210,2.6832902
211,21.414639
212,11.926842
213,6.156947
214,4.2748547
215,3.1944122
216,2.8722093
217,2.723335
218,2.6540067
219,21.403152
220,11.855304
221,6.023457
222,4.083418
223,3.005033
224,2.653688
225,2.4943414
226,2.4219434
227,21.686567
228,11.973297
229,6.1828766
230,4.3044677
231,3.209258
232,2.8885062
233,2.7383976
234,2.6710992
235,21.692669
236,11.976787
237,6.184807
238,4.305893
239,3.2103896
240,2.8895512
241,2.7394025
242,2.6720855
243,16.241953
244,12.126219
245,10.697435
246,7.906314
247,23.297487
248,13.0394
249,7.2673836
250,5.0893884
251,3.8729
252,3.5184956
253,3.3769536
254,3.2891212
255,27.999374
256,23.082087
257,12.896349
258,6.7467575
259,4.791885
260,3.5818052
261,3.243947
262,3.0895576
263,3.016481
264,11.247484
265,32.653004
266,20.858877
267,14.109802
268,12.143969
269,10.7056265
270,10.1759
271,9.938015
272,9.718903
273,5.992626
274,6.8019915
275,21.89893
276,12.202956
277,6.438371
278,4.5739584
279,3.3734684
280,3.0681658
281,2.92407
282,2.8211572
283,5.598124
284,4.5690093
285,16.27348
286,10.764485
287,6.563224
288,6.258689
289,22.308725
290,12.364437
291,6.794285
292,5.1938806
293,3.8513708
294,3.5060277
295,3.3392506
296,3.2569356
297,21.67465
298,11.965959
299,6.2048144
300,4.306414
301,3.160604
302,2.8386443
303,2.69175
304,2.601081
305,1.806263
306,72.4087
307,21.840391
308,12.46645
309,6.593041
310,4.8209324
311,3.6690392
312,3.317113
313,3.1626344
314,3.067429
315,11.921357
316,12.110228
317,5.918284
318,3.2642336
319,2.4665554
320,2.144437
321,1.9907439
322,1.8640051
323,4.101115
324,24.894688
325,14.777069
326,8.617535
327,6.89911
328,5.596794
329,5.3363357
330,5.2796903
331,5.142314
332,27.727425
333,16.666729
334,9.8598
335,7.4531984
336,6.0788727
337,5.6654844
338,5.5250545
339,5.3487315
340,27.727425
341,16.666729
342,9.8598
343,7.4531984
344,6.0788727
345,5.6654844
346,5.5250545
347,5.3487315
348,27.063334
349,13.029275
350,8.627799
351,6.650445
352,5.9930596
353,4.3514776
354,1.6667078
355,12.236419
356,7.785569
357,7.0041933
358,8.083224
359,5.480103
360,4.943714
361,8.074953
362,12.548308
363,21.713032
364,14.319663
365,12.027498
366,10.658657
367,10.308609
368,9.574341
369,44.231384
370,21.983929
371,12.301839
372,6.5766354
373,4.776319
374,3.7042532
375,3.3494668
376,3.1926985
377,3.1190286
378,35.107216
379,24.393719
380,21.391415
381,18.730137
382,13.091005
383,26.026117
384,14.840786
385,8.928848
386,7.226925
387,5.833153
388,5.393366
389,5.3206706
390,5.2596674
391,28.081963
392,16.476398
393,9.716812
394,7.236165
395,5.829579
396,5.44422
397,5.321101
398,5.166562
399,26.672836
400,15.324751
401,9.198721
402,7.518409
403,6.1021996
404,5.615711
405,5.544096
406,5.4809365
407,22.38538
408,14.939154
409,9.061026
410,4.6332307
411,2.8961482
412,24.565117
413,14.474038
414,8.5067425
415,6.8087354
416,5.4821024
417,5.216717
418,5.0667515
419,4.990055
420,26.87626
421,16.554615
422,9.739679
423,7.716324
424,6.466955
425,6.109009
426,5.9798565
427,5.840644
428,26.87626
429,16.554615
430,9.739679
431,7.716324
432,6.466955
433,6.109009
434,5.9798565
435,5.840644
436,28.713148
437,17.202034
438,10.19847
439,7.8144426
440,6.3207393
441,5.8494873
442,5.735877
443,5.602758
444,34.111397
445,20.668312
446,12.36085
447,10.108889
448,8.449546
449,8.1790285
450,7.945918
451,8.108382
452,20.792645
453,11.353432
454,5.4993973
